학과,학수번호,분반,이수구분,교과목명,담당교수,학점,강의시간/강의실,영어강의,비고
컴퓨터학과,COSE281,01,전공선택,공학수학,이주섭,3(3),수(3) 정운오IT교양관 609호 / 금(3) 정운오IT교양관 609호,,[컴퓨터학과/데이터과학과/인공지능학과 소속학생만 수강가능]
컴퓨터학과,COSE281,02,전공선택,공학수학,안소영,3(3),월(5) 정운오IT교양관 611호 / 수(5) 정운오IT교양관 611호,,
컴퓨터학과,COSE284,00,전공선택,전자기학,이주섭,3(3),화(3) 애기능생활관 302호 / 목(3) 애기능생활관 302호,,
컴퓨터학과,COSE341,01,전공필수,운영체제(영강),오상은,3(3),월(3) 정보통신관 205호 / 수(3) 정보통신관 205호,Y,
컴퓨터학과,COSE341,02,전공필수,운영체제,양경식,3(3),월(4) 정보통신관 205호 / 수(4) 정보통신관 205호,,[컴퓨터학과/데이터과학과/인공지능학과 소속학생만 수강가능]
컴퓨터학과,COSE342,01,전공필수,컴퓨터네트워크,곽정호,3(3),화(4) 정운오IT교양관 609호 / 목(4) 정운오IT교양관 609호,,[컴퓨터학과/데이터과학과/인공지능학과 소속학생만 수강가능]
컴퓨터학과,COSE342,02,전공필수,컴퓨터네트워크,김세연,3(3),화(5) 정보통신관 205호 / 목(5) 정보통신관 205호,,
컴퓨터학과,COSE352,01,전공선택,소프트웨어공학,인호,3(3),월(2) 정보통신관 205호 / 수(2) 정보통신관 205호,,
컴퓨터학과,COSE352,02,전공선택,소프트웨어공학(영강),김동선,3(3),화(3-4) 정보통신관 604호 / 목(3-4) 정보통신관 604호,Y,[컴퓨터학과/데이터과학과/인공지능학과 소속학생만 수강가능]
컴퓨터학과,COSE354,01,전공선택,정보보호(영강),이희조,3(3),화(5) 정운오IT교양관 B102 / 목(5) 정운오IT교양관 B102,Y,
컴퓨터학과,COSE354,02,전공선택,정보보호(영강),허준범,3(3),화(1-2) 애기능생활관 302호 / 목(1-2) 애기능생활관 302호,Y,[컴퓨터학과/데이터과학과/인공지능학과 소속학생만 수강가능]
컴퓨터학과,COSE361,01,전공필수,인공지능(영강),윤수식,3(3),월(2-3) 정운오IT교양관 B102 / 수(2-3) 정운오IT교양관 B102,Y,[컴퓨터학과/데이터과학과/인공지능학과 소속학생만 수강가능]
컴퓨터학과,COSE361,02,전공필수,인공지능(영강),이상민,3(3),화(4) 정운오IT교양관 611호 / 목(4) 정운오IT교양관 611호,Y,
컴퓨터학과,COSE361,03,전공필수,인공지능(영강),,3(3),화(3) 애기능생활관 301호 / 목(3) 애기능생활관 301호,Y,
컴퓨터학과,COSE362,01,전공선택,기계학습,김현철,3(3),화(5) 애기능생활관 301호 / 목(5) 애기능생활관 301호,,
컴퓨터학과,COSE362,02,전공선택,기계학습,육동석,3(3),월(1) 정보통신관 B101호 / 수(1) 정보통신관 B101호,,[컴퓨터학과/데이터과학과/인공지능학과 소속학생만 수강가능]
컴퓨터학과,COSE371,00,전공선택,데이터베이스(영강),박종혁,3(3),월(4) 정운오IT교양관 B102 / 수(4) 정운오IT교양관 B102,Y,
컴퓨터학과,COSE372,00,전공선택,데이터베이스시스템,정연돈,3(3),화(2) 정운오IT교양관 611호 / 목(2) 정운오IT교양관 611호,,
컴퓨터학과,COSE380,00,전공선택,디지털신호처리,이재훈,3(3),월(3) 애기능생활관 302호 / 수(3) 애기능생활관 302호,,
컴퓨터학과,COSE382,01,전공선택,확률및랜덤과정,최창열,3(3),화(2) 정운오IT교양관 B102 / 목(2) 정운오IT교양관 B102,,
컴퓨터학과,COSE382,02,전공선택,확률및랜덤과정,최창열,3(3),화(3) 정운오IT교양관 B102 / 목(3) 정운오IT교양관 B102,,
컴퓨터학과,COSE382,03,전공선택,확률및랜덤과정,유용재,3(3),수(1-2) 정운오IT교양관 611호,,
컴퓨터학과,COSE389,00,전공선택,기업가정신과리더쉽,이문영,3(3),수(4) 애기능생활관 301호 / 금(4) 애기능생활관 301호,,
컴퓨터학과,COSE401,00,전공선택,현장실습및창업실습I,,3(0),월(3) 아산이학관 633호 / 화(3) 아산이학관 633호 / 수(3) 아산이학관 633호 / 목(3) 아산이학관 633호 / 금(4-5) 아산이학관 535호,,
컴퓨터학과,COSE402,00,전공선택,현장실습및창업실습II,,3(0),,,
컴퓨터학과,COSE403,00,전공선택,현장실습및창업실습III,,3(0),,,
컴퓨터학과,COSE404,00,전공선택,현장실습및창업실습IV,,3(0),,,
컴퓨터학과,COSE405,00,전공선택,컴퓨터학콜로키움(영강),박지혁,3(6),수(6-9) 애기능생활관 301호 / 토(1) 애기능생활관 301호,Y,
컴퓨터학과,COSE407,00,전공선택,개별연구프로젝트(영강),김영근,3(6),화(6) 정보통신관 604호 / 토(2-4) 정보통신관 604호,Y,
컴퓨터학과,COSE423,01,전공선택,볼록최적화입문,,3(3),화(4) 아산이학관 432호 / 목(4) 아산이학관 432호,,[강의담당교원 사정에 따라 폐강 가능]
컴퓨터학과,COSE423,02,전공선택,볼록최적화입문,,3(3),화(5) 아산이학관 535호 / 목(5) 아산이학관 535호,,[강의담당교원 사정에 따라 폐강 가능]
컴퓨터학과,COSE444,00,전공선택,클라우드컴퓨팅,유헌창,3(3),월(2) 애기능생활관 302호 / 수(2) 애기능생활관 302호,,
컴퓨터학과,COSE451,00,전공선택,소프트웨어보안,전유석,3(3),화(2) 정보통신관 604호 / 목(2) 정보통신관 604호,,
컴퓨터학과,COSE455,00,전공선택,스타트업프로젝트관리,이문영,3(3),수(3) 애기능생활관 301호 / 금(3) 애기능생활관 301호,,
컴퓨터학과,COSE457,00,전공선택,실전SW프로젝트,"유헌창,황영숙",3(6),목(4-5) 정운오IT교양관 B103호 / 토(5-6) 정운오IT교양관 B103호,,[강의담당교원 사정에 따라 시간변경 가능]
컴퓨터학과,COSE471,00,전공선택,데이터과학,강재우,3(3),화(3-4) 정보통신관 205호 / 목(3-4) 정보통신관 205호,,
컴퓨터학과,COSE474,01,전공선택,딥러닝,서홍석,3(3),월(4-5) 정운오IT교양관 B103호 / 수(4-5) 정운오IT교양관 B103호,,
컴퓨터학과,COSE474,02,전공선택,딥러닝,이정범,3(3),금(3-4) 정운오IT교양관 B102,,
컴퓨터학과,COSE480,00,전공선택,산학캡스톤디자인,,3(6),화(6-8) 애기능생활관 302호 / 토(7-9) 애기능생활관 302호,,
컴퓨터학과,COSE490,00,전공선택,전산학특강(영강),박성빈,3(3),금(3-4) 정보통신관 B101호,Y,
